Sew: Leather boots	1061	level=1	xp=16.3	out=1	1741x1 (Leather)  tools=[1733, 1734]
Sew: Leather vambraces	1063	level=11	xp=22.0	out=1	1741x1 (Leather)  tools=[1733, 1734]
Sew: Leather cowl	1167	level=1	xp=18.5	out=1	1741x1 (Leather)  tools=[1733, 1734]
Sew: Leather gloves	1059	level=1	xp=13.8	out=1	1741x1 (Leather)  tools=[1733, 1734]
Sew: Leather chaps	1095	level=1	xp=27.0	out=1	1741x1 (Leather)  tools=[1733, 1734]
Sew: Leather body	1129	level=1	xp=25.0	out=1	1741x1 (Leather)  tools=[1733, 1734]
Sew: Green dragonhide vambraces	1065	level=40	xp=62.0	out=1	1745x1 (Green dragon leather)  tools=[1733, 1734]
Sew: Green dragonhide chaps	1099	level=40	xp=124.0	out=1	1745x2 (Green dragon leather)  tools=[1733, 1734]
Sew: Green dragonhide body	1135	level=40	xp=186.0	out=1	1745x3 (Green dragon leather)  tools=[1733, 1734]
Sew: Blue dragonhide vambraces	2487	level=50	xp=70.0	out=1	2505x1 (Blue dragon leather)  tools=[1733, 1734]
Sew: Blue dragonhide chaps	2493	level=50	xp=140.0	out=1	2505x2 (Blue dragon leather)  tools=[1733, 1734]
Sew: Blue dragonhide body	2499	level=50	xp=210.0	out=1	2505x3 (Blue dragon leather)  tools=[1733, 1734]
Sew: Red dragonhide vambraces	2489	level=55	xp=78.0	out=1	2507x1 (Red dragon leather)  tools=[1733, 1734]
Sew: Red dragonhide chaps	2495	level=55	xp=156.0	out=1	2507x2 (Red dragon leather)  tools=[1733, 1734]
Sew: Red dragonhide body	2501	level=55	xp=234.0	out=1	2507x3 (Red dragon leather)  tools=[1733, 1734]
Sew: Black dragonhide vambraces	2491	level=60	xp=86.0	out=1	2509x1 (Black dragon leather)  tools=[1733, 1734]
Sew: Black dragonhide chaps	2497	level=60	xp=172.0	out=1	2509x2 (Black dragon leather)  tools=[1733, 1734]
Sew: Black dragonhide body	2503	level=60	xp=258.0	out=1	2509x3 (Black dragon leather)  tools=[1733, 1734]
Sew: Snakeskin bandana	6326	level=48	xp=45.0	out=1	6289x5 (Snakeskin)  tools=[1733, 1734]
Sew: Snakeskin body	6322	level=53	xp=55.0	out=1	6289x15 (Snakeskin)  tools=[1733, 1734]
Sew: Snakeskin chaps	6324	level=51	xp=50.0	out=1	6289x12 (Snakeskin)  tools=[1733, 1734]
Sew: Snakeskin boots	6328	level=45	xp=30.0	out=1	6289x6 (Snakeskin)  tools=[1733, 1734]
Sew: Snakeskin vambraces	6330	level=47	xp=35.0	out=1	6289x8 (Snakeskin)  tools=[1733, 1734]
Sew: Royal dragonhide body	24382	level=65	xp=282.0	out=1	24374x3 (Royal dragon leather)  tools=[1733, 1734]
Sew: Royal dragonhide vambraces	24376	level=65	xp=94.0	out=1	24374x1 (Royal dragon leather)  tools=[1733, 1734]
Sew: Royal dragonhide chaps	24379	level=65	xp=188.0	out=1	24374x2 (Royal dragon leather)  tools=[1733, 1734]
Sew: Imphide hood	25845	level=12	xp=20.0	out=1	25545x2 (Imphide)  tools=[1733, 1734]
Sew: Imphide robe top	25847	level=14	xp=30.0	out=1	25545x3 (Imphide)  tools=[1733, 1734]
Sew: Imphide robe bottom	25849	level=13	xp=20.0	out=1	25545x2 (Imphide)  tools=[1733, 1734]
Sew: Imphide gloves	25851	level=10	xp=10.0	out=1	25545x1 (Imphide)  tools=[1733, 1734]
Sew: Imphide boots	25853	level=11	xp=10.0	out=1	25545x1 (Imphide)  tools=[1733, 1734]
Sew: Spider silk hood	25835	level=22	xp=25.0	out=1	25547x2 (Spider silk)  tools=[1733, 1734]
Sew: Spider silk robe top	25837	level=24	xp=37.5	out=1	25547x3 (Spider silk)  tools=[1733, 1734]
Sew: Spider silk robe bottom	25839	level=23	xp=25.0	out=1	25547x2 (Spider silk)  tools=[1733, 1734]
Sew: Spider silk boots	25841	level=21	xp=12.5	out=1	25547x1 (Spider silk)  tools=[1733, 1734]
Sew: Spider silk gloves	25843	level=20	xp=12.5	out=1	25547x1 (Spider silk)  tools=[1733, 1734]
Sew: Carapace helm	25857	level=33	xp=24.0	out=1	25551x2 (Carapace)  tools=[1733, 1734]
Sew: Carapace torso	25859	level=35	xp=36.0	out=1	25551x3 (Carapace)  tools=[1733, 1734]
Sew: Carapace legs	25861	level=34	xp=24.0	out=1	25551x2 (Carapace)  tools=[1733, 1734]
Sew: Carapace boots	25863	level=31	xp=12.0	out=1	25551x1 (Carapace)  tools=[1733, 1734]
Sew: Carapace gloves	25865	level=30	xp=12.0	out=1	25551x1 (Carapace)  tools=[1733, 1734]
Sew: Batwing hood	25825	level=33	xp=24.0	out=1	25549x2 (Batwing)  tools=[1733, 1734]
Sew: Batwing torso	25827	level=35	xp=36.0	out=1	25549x3 (Batwing)  tools=[1733, 1734]
Sew: Batwing legs	25831	level=34	xp=24.0	out=1	25549x2 (Batwing)  tools=[1733, 1734]
Sew: Batwing boots	25833	level=31	xp=12.0	out=1	25549x1 (Batwing)  tools=[1733, 1734]
Sew: Batwing gloves	25829	level=30	xp=12.0	out=1	25549x1 (Batwing)  tools=[1733, 1734]
Sew: Wizard hat	579	level=1	xp=5.0	out=1	3224x1 (Strip of cloth)  tools=[1733, 1734]
Sew: Wizard robe top	577	level=1	xp=10.0	out=1	3224x2 (Strip of cloth)  tools=[1733, 1734]
Sew: Wizard robe skirt	1011	level=1	xp=10.0	out=1	3224x2 (Strip of cloth)  tools=[1733, 1734]
Sew: Wizard gloves	25873	level=1	xp=5.0	out=1	3224x1 (Strip of cloth)  tools=[1733, 1734]
Sew: Wizard boots	41225	level=1	xp=5.0	out=1	3224x1 (Strip of cloth)  tools=[1733, 1734]
Spin: Ball of wool	1759	level=1	xp=2.5	out=1	1737x1 (Wool)  tools=[]
Spin: Bowstring	1777	level=1	xp=15.0	out=1	1779x1 (Flax)  tools=[]
Spin: Crossbow string	9438	level=10	xp=15.0	out=1	9436x1 (Sinew)  tools=[]
Spin: Magic string	6038	level=19	xp=30.0	out=1	6051x1 (Magic roots)  tools=[]
Spin: Rope	954	level=30	xp=25.0	out=1	10814x1 (Hair)  tools=[]
Jewellery: Gold ring	1635	level=5	xp=15.0	out=1	2357x1 (Gold bar)  tools=[1592]
Jewellery: Sapphire ring	1637	level=20	xp=40.0	out=1	1607x1 (Sapphire) 2357x1 (Gold bar)  tools=[1592]
Jewellery: Emerald ring	1639	level=27	xp=55.0	out=1	1605x1 (Emerald) 2357x1 (Gold bar)  tools=[1592]
Jewellery: Ruby ring	1641	level=34	xp=70.0	out=1	1603x1 (Ruby) 2357x1 (Gold bar)  tools=[1592]
Jewellery: Diamond ring	1643	level=43	xp=85.0	out=1	1601x1 (Diamond) 2357x1 (Gold bar)  tools=[1592]
Jewellery: Dragonstone ring	1645	level=55	xp=100.0	out=1	1615x1 (Dragonstone) 2357x1 (Gold bar)  tools=[1592]
Jewellery: Onyx ring	6575	level=72	xp=115.0	out=1	6573x1 (Onyx) 2357x1 (Gold bar)  tools=[1592]
Jewellery: Gold necklace	1654	level=6	xp=20.0	out=1	2357x1 (Gold bar)  tools=[1597]
Jewellery: Sapphire necklace	1656	level=22	xp=55.0	out=1	1607x1 (Sapphire) 2357x1 (Gold bar)  tools=[1597]
Jewellery: Emerald necklace	1658	level=29	xp=60.0	out=1	1605x1 (Emerald) 2357x1 (Gold bar)  tools=[1597]
Jewellery: Ruby necklace	1660	level=40	xp=75.0	out=1	1603x1 (Ruby) 2357x1 (Gold bar)  tools=[1597]
Jewellery: Diamond necklace	1662	level=56	xp=90.0	out=1	1601x1 (Diamond) 2357x1 (Gold bar)  tools=[1597]
Jewellery: Dragonstone necklace	1664	level=72	xp=105.0	out=1	1615x1 (Dragonstone) 2357x1 (Gold bar)  tools=[1597]
Jewellery: Onyx necklace	6577	level=82	xp=120.0	out=1	6573x1 (Onyx) 2357x1 (Gold bar)  tools=[1597]
Jewellery: Gold amulet	1673	level=8	xp=30.0	out=1	2357x1 (Gold bar)  tools=[1595]
Jewellery: Sapphire amulet	1675	level=24	xp=65.0	out=1	1607x1 (Sapphire) 2357x1 (Gold bar)  tools=[1595]
Jewellery: Emerald amulet	1677	level=31	xp=70.0	out=1	1605x1 (Emerald) 2357x1 (Gold bar)  tools=[1595]
Jewellery: Ruby amulet	1679	level=50	xp=85.0	out=1	1603x1 (Ruby) 2357x1 (Gold bar)  tools=[1595]
Jewellery: Diamond amulet	1681	level=70	xp=100.0	out=1	1601x1 (Diamond) 2357x1 (Gold bar)  tools=[1595]
Jewellery: Dragonstone amulet	1683	level=80	xp=150.0	out=1	1615x1 (Dragonstone) 2357x1 (Gold bar)  tools=[1595]
Jewellery: Onyx amulet	6579	level=90	xp=165.0	out=1	6573x1 (Onyx) 2357x1 (Gold bar)  tools=[1595]
Jewellery: Gold bracelet	11069	level=7	xp=25.0	out=1	2357x1 (Gold bar)  tools=[11065]
