2642	Pottery wheel	[Form, null, null, null, null]
2643	Pottery oven	[Fire, null, null, null, null]
2644	Spinning wheel	[null, Spin, null, null, null]
3044	Furnace	[Use, null, null, null, null]
3198	Pottery oven	[Fire, null, null, null, null]
4308	Pottery Oven	[Fire, null, null, null, null]
4309	Spinning wheel	[null, Spin, null, null, null]
5087	Pottery oven	[Fire, null, null, null, null]
5093	Pottery wheel	[Form, null, null, null, null]
5707	Spinning wheel	[null, Spin, null, null, null]
8748	Spinning wheel	[null, Spin, null, null, null]
11010	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
11496	Furnace	[Smelt, null, null, null, null]
11601	Pottery Oven	[Fire, null, null, null, null]
12809	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
20365	Spinning wheel	[null, Spin, null, null, null]
21304	Spinning wheel	[null, Spin, null, null, null]
22721	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
24887	Furnace	[Smelt, null, null, null, null]
25824	Spinning wheel	[null, Spin, null, null, null]
26814	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), Inspect, null]
28716	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
28719	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
28722	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
28725	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
28728	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
28731	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
28734	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
30510	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
34802	Pottery oven	[Fire, null, null, null, null]
36970	Spinning wheel	[null, Spin, null, null, null]
37476	Spinning wheel	[null, Spin, null, null, null]
37651	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
49934	Spinning wheel	[Spin, null, null, null, null]
49935	Spinning wheel	[Spin, null, null, null, null]
49936	Spinning wheel	[Spin, null, null, null, null]
50191	Furnace	[Smelt, null, null, null, null]
50192	Furnace	[Smelt, null, null, null, null]
50193	Furnace	[Smelt, null, null, null, null]
52574	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
53749	Spinning wheel	[Spin, null, null, null, null]
54884	Furnace	[Smelt, null, null, null, null]
55566	Spinning wheel	[Spin, null, null, null, null]
55812	Furnace	[Smelt, null, null, null, null]
56031	Furnace	[Smelt, null, null, null, null]
56032	Furnace	[Smelt, null, null, null, null]
56033	Furnace	[Smelt, null, null, null, null]
56034	Furnace	[Smelt, null, null, null, null]
56035	Furnace	[Smelt, null, null, null, null]
56036	Furnace	[Smelt, null, null, null, null]
61330	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
61334	Pottery Oven	[Fire, null, null, null, null]
66847	Pottery Oven	[Use, null, null, null, null]
66848	Pottery Wheel	[Form, null, null, null, null]
66850	Spinning wheel	[null, Spin, null, null, null]
66851	Spinning wheel	[null, Spin, null, null, null]
67036	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
67465	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
67467	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
69558	Spinning wheel	[null, Spin, null, null, null]
76293	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
78111	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
87353	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), Search, null]
88492	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
93222	Spinning wheel	[null, Spin, null, null, null]
94063	Pottery oven	[Use, null, null, null, null]
94230	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
100682	Furnace	[Smelt, Close doors, null, null, null]
103642	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
107720	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
107721	Spinning wheel	[null, Spin, null, null, null]
107723	Pottery oven	[Use, null, null, null, null]
107724	Pottery wheel	[Form, null, null, null, null]
107726	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
107727	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
107728	Obelisk	[Infuse-pouch, Renew-points, null, null, null]
110954	Furnace	[Smelt, Deposit-All (Into Metal Bank), Withdraw-All (From Metal Bank), null, null]
112701	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
113261	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
113265	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
113266	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
117393	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
125137	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
125722	Spinning wheel	[null, Spin, null, null, null]
126741	Pottery wheel	[Form, null, null, null, null]
126742	Pottery oven	[Fire, null, null, null, null]
127279	Spinning wheel	[null, Spin, null, null, null]
127312	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
133377	Pottery oven	[Fire, null, null, null, null]
133378	Pottery Wheel	[Form, null, null, null, null]
133385	Furnace	[Smelt, Deposit-all (into metal bank), Withdraw-all (from metal bank), null, null]
133389	Spinning wheel	[null, Spin, null, null, null]
