5318	0	1	1942	8.0	9.0	40	3	6	4
5319	0	5	1957	9.5	10.5	40	3	13	4
5324	0	7	1965	10.0	11.5	40	3	20	4
5322	0	12	1982	12.5	14.0	40	3	27	4
5320	0	20	5986	17.0	19.0	60	3	34	6
5323	0	31	5504	26.0	29.0	60	3	43	6
5321	0	47	5982	48.5	54.5	80	3	52	8
5291	6	9	199	11.0	12.5	80	1	4	4
5292	6	14	201	13.5	15.0	80	1	11	4
5293	6	19	203	16.0	18.0	80	1	18	4
5294	6	26	205	21.5	24.0	80	1	25	4
5295	6	32	207	27.0	30.5	80	1	32	4
5296	6	38	3049	34.0	38.5	80	1	39	4
5297	6	44	209	43.0	48.5	80	1	46	4
5298	6	50	211	54.4	61.5	80	1	53	4
5299	6	56	213	69.0	78.0	80	1	68	4
5300	6	62	3051	87.5	98.5	80	1	75	4
5301	6	67	215	106.5	120.0	80	1	82	4
5302	6	73	2485	134.5	151.5	80	1	89	4
5303	6	79	217	170.5	192.0	80	1	96	4
5304	6	85	219	199.5	224.5	80	1	103	4
21621	6	91	21626	225.0	315.6	80	1	110	3
14870	6	46	14836	52.8	52.8	80	1	60	4
5096	3	2	6010	8.5	47.0	20	1	8	4
5097	3	11	6014	12.0	66.5	20	1	13	4
5098	3	24	6012	19.5	111.0	20	1	18	4
5099	3	25	1793	20.5	115.5	20	1	23	4
5100	3	26	225	21.5	120.0	20	1	28	4
28265	3	88	10020	210.0	280.0	20	1	42	4
5305	2	3	6006	8.5	9.5	40	3	49	4
5307	2	4	5994	9.0	10.0	40	3	4	4
5308	2	8	5996	10.9	12.0	50	3	11	5
5306	2	13	5931	13.0	14.5	50	3	56	5
5309	2	16	5998	14.5	16.0	60	3	19	6
5310	2	21	6000	17.5	19.5	70	3	28	7
5311	2	28	6002	23.0	26.0	70	3	38	8
