# SHNORKSCAPE 950 developer catalogue: kind,id,name,width,height,level,types
NPC	0	Hans	1	1	0	
NPC	1	Man	1	1	4	
NPC	2	Man	1	1	4	
NPC	3	Man	1	1	4	
NPC	4	Woman	1	1	4	
NPC	5	Woman	1	1	4	
NPC	6	Woman	1	1	4	
NPC	7	Farmer	1	1	7	
NPC	8	Thief	1	1	14	
NPC	9	Guard	1	1	18	
NPC	10	Schoolgirl	1	1	0	
NPC	11	Tramp	1	1	0	
NPC	12	Hallvar	1	1	0	
NPC	13	Wizard	1	1	18	
NPC	14	Liquid Gold Nymph	1	1	0	
NPC	15	Warrior woman	1	1	43	
NPC	16	Man	1	1	4	
NPC	17	Schoolgirl	1	1	0	
NPC	18	Al Kharid warrior	1	1	18	
NPC	19	Santa Claus	2	2	0	
NPC	20	Paladin	1	1	49	
NPC	21	Hero	1	1	51	
NPC	22	Sneakerpeeper	2	2	0	
NPC	23	Knight of Ardougne	1	1	53	
NPC	24	Man	1	1	4	
NPC	25	Woman	1	1	4	
NPC	26	Knight of Ardougne	1	1	53	
NPC	27	Archer	1	1	49	
NPC	28	Zookeeper	1	1	0	
NPC	29	Musician	1	1	0	
NPC	30	Musician	1	1	0	
NPC	31	Priest	1	1	0	
NPC	32	Guard	1	1	18	
NPC	33	Ethereal Mimic	1	1	0	
NPC	34	Watchman	1	1	28	
NPC	35	Soldier	1	1	32	
NPC	36	Wyson the gardener	1	1	0	
NPC	37	Sigbert the Adventurer	1	1	0	
NPC	38	Shipyard worker	1	1	28	
NPC	39	Shipyard worker	1	1	28	
NPC	40	Shark	1	1	0	
NPC	41	Chicken	1	1	1	
NPC	42	Bill	1	1	0	
NPC	44	Banker	1	1	0	
NPC	45	Banker	1	1	0	
NPC	46	Duck	1	1	1	
NPC	47	Rat	1	1	1	
NPC	48	Oomlie bird	1	1	89	
NPC	49	Hellhound	2	2	92	
NPC	50	King Black Dragon	5	5	276	
NPC	51	Frost dragon	4	4	112	
NPC	52	Baby blue dragon	2	2	44	
NPC	53	Red dragon	4	4	84	
NPC	54	Black dragon	4	4	100	
NPC	55	Blue dragon	4	4	74	
NPC	56	Dwarf	1	1	0	
NPC	57	Fairy	1	1	0	
NPC	58	Shadow spider	1	1	46	
NPC	59	Giant spider	1	1	2	
NPC	60	Giant spider	1	1	33	
NPC	61	Spider	1	1	1	
NPC	62	Jungle spider	1	1	86	
NPC	63	Deadly red spider	1	1	95	
NPC	64	Ice spider	1	1	42	
NPC	65	Dwarf	1	1	0	
NPC	66	Gnome	1	1	42	
