CRUDE_WOODEN_CHAIR	61929
OAK_CHAIR	61933
OAK_ARMCHAIR	61935
TEAK_ARMCHAIR	61939
MAHOGANY_ARMCHAIR	61943
CLAY_FIREPLACE	61945
STONE_FIREPLACE	61947
MARBLE_FIREPLACE	61949
WOODEN_BOOKCASE	61951
OAK_BOOKCASE	61953
WOODEN_BED	62051
OAK_BED	62053
TEAK_BED	62057
OAK_DRESSER	62069
TEAK_DRESSER	62071
MAHOGANY_DRESSER	62073
OAK_CLOCK	62077
TEAK_CLOCK	62079
SHOE_BOX	62085
WOODEN_LARDER	61975
OAK_LARDER	61977
TEAK_LARDER	61979
SINK	62001
FIREPIT	61963
FIREPIT_WITH_HOOK	61965
FIREPIT_WITH_POT	61967
LARGE_OVEN	61969
STEEL_RANGE	61971
FANCY_RANGE	61973
WOODEN_SHELVES_1	61981
WOODEN_SHELVES_2	61983
WOODEN_SHELVES_3	61985
OAK_SHELVES_1	61987
OAK_SHELVES_2	61989
TEAK_SHELVES_1	61993
TEAK_SHELVES_2	61995
TEAK_DINING	61961
WOOD_BENCH	62005
OAK_BENCH	62007
MAHOGANY_BENCH	62011
WOODEN_WORKBENCH	62015
DART_BOARD	62107
ANTIDRAGON_SHIELD	62109
GLORY	62111
CAPE_OF_LEGENDS	62113
